t,n_alive,new_deaths,cum_deaths,pregnancy.pregnancies,pregnancy.births,pregnancy.cbr,deaths.new,deaths.cumulative,deaths.cmr,hiv.n_on_art,hiv.n_susceptible,hiv.n_infected,hiv.prevalence,hiv.new_infections,hiv.cum_infections,hiv.new_deaths,hiv.Agent10_cd4,hiv.Agent10_V_level,hiv.Agent11_cd4,hiv.Agent11_V_level
1990.6657534246478,10105761.4875,0.0,93821.3906,998.0999,0.0,0.0,0.0,67870.79320000004,0.0,0.0,9143593.1839,962168.3036000001,0.09520987654320988,0.0,995105.6003,0,500,0,100,0
1990.6684931506752,10107757.6873,0.0,93821.3906,1996.1998,0.0,0.0,0.0,67870.79320000004,0.0,0.0,9145589.3837,962168.3036000001,0.09519107336822356,0.0,995105.6003,0,500,0,100,0
1990.6712328767026,10108755.7872,998.0999,93821.3906,1996.1998,0.0,0.0,998.0999,68868.89310000004,9.873617693522907e-05,0.0,9146587.4836,962168.3036000001,0.09518167456556083,0.0,995105.6003,0,500,0,100,0
1990.67397260273,10108755.7872,0.0,94819.4905,0.0,0.0,0.0,0.0,68868.89310000004,0.0,0.0,9146587.4836,962168.3036000001,0.09518167456556083,0.0,995105.6003,0,500,0,100,0
1990.6767123287573,10108755.7872,1996.1998,94819.4905,1996.1998,0.0,0.0,1996.1998,70865.09290000005,0.00019747235387045813,0.0,9147585.5835,961170.2037000001,0.0950829383886256,0.0,995105.6003,0,500,0,100,0
1990.6794520547846,10108755.7872,0.0,96815.6903,0.0,0.0,0.0,0.0,70865.09290000005,0.0,0.0,9147585.5835,961170.2037000001,0.0950829383886256,0.0,995105.6003,0,500,0,100,0
1990.682191780812,10107757.6873,1996.1998,96815.6903,998.0999,0.0,0.0,0.0,70865.09290000005,0.0,0.0,9148583.6834,959174.0039,0.094894835588032,0.0,995105.6003,2,500,0,100,0
1990.6849315068393,10108755.7872,0.0,98811.8901,998.0999,0.0,0.0,0.0,70865.09290000005,0.0,0.0,9149581.783300001,959174.0039,0.09488546603475513,0.0,995105.6003,0,500,0,100,0
1990.6876712328667,10108755.7872,998.0999,98811.8901,998.0999,0.0,0.0,998.0999,71863.19280000005,9.873617693522907e-05,0.0,9149581.783300001,959174.0039,0.09488546603475513,0.0,995105.6003,0,500,0,100,0
1990.690410958894,10109753.8871,0.0,99809.99,998.0999,0.0,0.0,0.0,71863.19280000005,0.0,0.0,9149581.783300001,960172.1038,0.09497482476058841,998.0999,996103.7002000001,0,500,0,100,0
